id,imo,lat,long,sog,cog,hdg,etd,atd,eta,ata
4136,9773064,60.1469,24.9135,6.3,219,216,1523114.94,1525461.5,1525469.1,1525468.98
4137,9773064,60.1445,24.91,11.6,217,217,1523114.94,1525461.5,1525469.1,1525469.34
4138,9773064,60.1412,24.9061,14.2,198,199,1523114.94,1525461.5,1525469.1,1525469.4
4140,9773064,60.1344,24.9056,15.9,179,179,1523114.94,1525461.5,1525469.1,1525469.52
4142,9773064,60.1322,24.9056,16.1,181,181,1523114.94,1525461.5,1525469.1,1525469.52
4144,9773064,60.1272,24.9055,17.0,181,181,1523114.94,1525461.5,1525469.1,1525469.58
4146,9773064,60.1217,24.9053,18.4,182,182,1523114.94,1525461.5,1525469.1,1525469.46
4147,9773064,60.1159,24.905,19.2,182,182,1523114.94,1525461.5,1525469.1,1525469.1
4149,9773064,60.11,24.904,19.7,187,187,1523114.94,1525461.5,1525469.1,1525468.86
4151,9773064,60.1041,24.902,20.7,190,189,1523114.94,1525461.5,1525469.1,1525469.22
4153,9773064,60.0978,24.9006,21.3,185,185,1523114.94,1525461.5,1525469.04,1525469.46
4156,9773064,60.0899,24.8991,21.9,185,184,1523114.94,1525461.5,1525469.1,1525469.58
4158,9773064,60.0832,24.8981,22.0,184,184,1523114.94,1525461.5,1525469.1,1525469.64
4160,9773064,60.0759,24.8976,22.3,181,181,1523114.94,1525461.5,1525469.1,1525468.98
4162,9773064,60.0716,24.8975,22.4,181,181,1523114.94,1525461.5,1525469.1,1525469.58
4164,9773064,60.0647,24.8972,22.6,181,181,1523114.94,1525461.5,1525469.04,1525469.46
4166,9773064,60.058,24.8971,22.4,181,181,1523114.94,1525461.5,1525469.04,1525468.92
4168,9773064,60.0525,24.897,22.0,179,179,1523114.94,1525461.5,1525469.04,1525469.28
4170,9773064,60.0465,24.8978,21.7,175,176,1523114.94,1525461.5,1525469.04,1525468.92
4172,9773064,60.0405,24.8988,21.5,175,176,1523114.94,1525461.5,1525469.04,1525469.4
4174,9773064,60.0316,24.8997,21.1,181,183,1523114.94,1525461.5,1525469.04,1525469.28
4176,9773064,60.0281,24.8994,21.3,183,185,1523114.94,1525461.5,1525469.04,1525469.04
4178,9773064,60.0222,24.8987,21.6,183,184,1523114.94,1525461.5,1525469.04,1525469.46
